"species","plot","avg_cover"
"Achyrachaena mollis",742,4.8
"Achyrachaena mollis",757,2
"Agoseris heterophylla",743,5.4
"Agoseris heterophylla",742,2.4
"Amsinckia menziesii",762,1.6
"Amsinckia menziesii",742,0.4
"Anagallis arvensis",763,1
"Anagallis arvensis",762,0.6
"Astragalus gambelianus",742,1
"Astragalus gambelianus",752,1
"Avena barbata",750,56
"Avena barbata",746,30
"Avena fatua",749,90
"Avena fatua",740,56
"Bowlesia incana",759,1.4
"Bowlesia incana",758,0.2
"Bromus diandrus",758,79
"Bromus diandrus",759,70
"Bromus hordeaceus",741,18
"Bromus hordeaceus",746,18
"Bromus madritensis",763,19.2
"Bromus madritensis",761,14
"Calystegia collina",747,2.6
"Calystegia collina",745,0.4
"Carduus pycnocephalus",758,7.2
"Carduus pycnocephalus",759,1
"Castilleja attenuata",743,0.4
"Castilleja attenuata",752,0.4
"Centaurea melitensis",761,7
"Centaurea melitensis",762,5
"Chaenactis glabriuscula",748,5.6
"Chaenactis glabriuscula",747,0.6
"Chlorogalum pomeridianum",745,5.4
"Chlorogalum pomeridianum",743,2.2
"Chorizanthe staticoides",747,6.4
"Chorizanthe staticoides",745,0.6
"Clarkia purpurea",756,2.6
"Clarkia purpurea",757,0.8
"Claytonia perfoliata",759,19
"Claytonia perfoliata",758,1
"Coreopsis bigelovii",748,1.8
"Croton setigerus",763,6.4
"Croton setigerus",760,0.6
"Dichelostemma capitatum",745,2.8
"Dichelostemma capitatum",746,2.8
"Dodecatheon hendersonii",756,4.4
"Dodecatheon hendersonii",757,1
"Eriogonum elongatum ",750,1.2
"Eriogonum elongatum ",763,0.4
"Erodium cicutarium",761,37.2
"Erodium cicutarium",760,26.4
"Erodium moschatum",762,4.2
"Erodium moschatum",761,0.4
"Euphorbia spathulata",741,1.6
"Euphorbia spathulata",740,1
"Fritillaria biflora",752,0.8
"Fritillaria biflora",741,0.4
"Galium aparine",758,1
"Galium aparine",759,1
"Gilia ochroleuca",748,3
"Gilia ochroleuca",747,0.4
"Hemizonia congesta",740,15.4
"Hemizonia congesta",741,6.6
"Hordeum murinum",742,20
"Hordeum murinum",758,10
"Lactuca serriola",740,2.4
"Lactuca serriola",749,1.6
"Lasthenia californica",744,26.8
"Lasthenia californica",743,11.2
"Linanthus parviflorus",752,15.8
"Linanthus parviflorus",755,11.6
"Lomatium sp.",755,1
"Lomatium sp.",745,0.2
"Lotus strigosus",748,4.4
"Lotus wrangelianus",746,4.2
"Lotus wrangelianus",751,2.2
"Lupinus bicolor",756,7.2
"Lupinus bicolor",762,0.2
"Medicago polymorpha",760,6.8
"Medicago polymorpha",761,4
"Micropus californicus",756,4.2
"Micropus californicus",743,2.4
"Microseris douglasii",747,17.4
"Microseris douglasii",742,14.8
"Minuartia douglasii",751,1.8
"Minuartia douglasii",743,0.4
"Nassella pulchra",750,9.6
"Nassella pulchra",746,7.2
"Navarretia mitracarpa",743,8.6
"Navarretia mitracarpa",741,7.6
"Plantago erecta",744,33
"Plantago erecta",743,29.2
"Poa secunda",742,1.6
"Poa secunda",745,1.4
"Ranunculus californicus",740,0.8
"Ranunculus californicus",745,0.6
"Rigiopappus leptocladus",743,0.4
"Rigiopappus leptocladus",744,0.4
"Stellaria media",758,1
"Stellaria media",759,1
"Stephanomeria cichoriacea",763,0.8
"Stephanomeria cichoriacea",755,0.4
"Stylocline filaginea",751,1
"Stylocline filaginea",743,0.8
"Torilis arvensis",758,9.6
"Torilis arvensis",759,7.8
"Trifolium albopurpureum",756,2.4
"Trifolium albopurpureum",744,0.8
"Uropappus lindleyi",751,2
"Uropappus lindleyi",747,1.6
"Viola pedunculata",759,8.2
"Viola pedunculata",756,2
"Vulpia microstachys",744,7.8
"Vulpia microstachys",751,6.8
"Vulpia myuros",760,6.6
"Vulpia myuros",761,2.6
"Carduus pycnocephela",758,5.2
"Carduus pycnocephela",759,1
"Lagophylla ramosissima",757,2
"Lagophylla ramosissima",755,0.6
"Lollium multiflorum",740,39
"Lollium multiflorum",754,0.4
"Croton setigerus",749,1
"Croton setigerus",754,1
"Croton setigerus",757,1
"Croton setigerus",760,1
"Croton setigerus",761,1
"Croton setigerus",762,1
"Plantago erecta",741,5
"Plantago erecta",742,16.2
"Plantago erecta",745,18.2
"Plantago erecta",746,1
"Plantago erecta",747,6.4
"Plantago erecta",751,15.2
"Plantago erecta",752,21.8
"Plantago erecta",755,18.8
"Plantago erecta",756,4
"Plantago erecta",757,1
"Plantago erecta",760,4
"Plantago erecta",763,1
