"","plot","notes","date","rep","rep_time","above","below","light_use"
"1","740","A",2017-05-04,1,2017-05-04 14:16:12,1802.9,382.35,0.787925009706584
"2","740",NA,2017-05-04,2,2017-05-04 14:19:38,1837.4,538.25,0.707058887558507
"3","741",NA,2017-05-04,1,2017-05-04 14:21:47,1835.8,922.63,0.497423466608563
"4","741",NA,2017-05-04,2,2017-05-04 14:22:40,1840.6,1526,0.170922525263501
"5","742",NA,2017-05-04,1,2017-05-04 14:24:28,1842.9,1501.8,0.185088718867003
"6","742",NA,2017-05-04,2,2017-05-04 14:25:28,1850.8,1682.4,0.0909876810028095
"7","743",NA,2017-05-04,1,2017-05-04 14:34:31,1876.1,1788.8,0.0465327008155215
"8","743",NA,2017-05-04,2,2017-05-04 14:35:21,1871.5,1810.2,0.0327544750200374
"9","744",NA,2017-05-04,1,2017-05-04 14:36:58,1881.9,1859.8,0.0117434507678411
"10","744",NA,2017-05-04,2,2017-05-04 14:37:59,1853.3,1793.7,0.0321588517779096
"11","745",NA,2017-05-04,1,2017-05-04 14:39:38,1887.2,1670.4,0.114879186095803
"12","745",NA,2017-05-04,2,2017-05-04 14:40:29,1902,1700.3,0.106046267087277
"13","746",NA,2017-05-04,1,2017-05-04 14:42:17,1893.1,1346,0.288996883418731
"14","746",NA,2017-05-04,2,2017-05-04 14:43:09,1895.3,1030.2,0.45644488999103
"15","747",NA,2017-05-04,1,2017-05-04 14:44:47,1906.7,1860.6,0.02417789898778
"16","747",NA,2017-05-04,2,2017-05-04 14:45:21,1907,1833.1,0.0387519664394337
"17","748",NA,2017-05-04,1,2017-05-04 14:49:02,1908.6,1889.8,0.00985015194383315
"18","748",NA,2017-05-04,2,2017-05-04 14:50:00,1898.8,1884.7,0.00742574257425738
"19","749",NA,2017-05-04,1,2017-05-04 14:51:34,1918.4,680.77,0.645136572143453
"20","749",NA,2017-05-04,2,2017-05-04 14:52:55,1919,641.83,0.665539343408025
"21","750",NA,2017-05-04,1,2017-05-04 14:56:41,1930.7,1590.7,0.176101931941783
"22","750",NA,2017-05-04,2,2017-05-04 14:57:21,1927.1,1257,0.34772456022002
"23","750",NA,2017-05-05,3,2017-05-05 15:42:42,1430.5,1371,0.0415938483047885
"24","750",NA,2017-05-05,4,2017-05-05 15:43:16,1504.3,1470.8,0.022269494116865
"25","751",NA,2017-05-04,1,2017-05-04 14:58:55,1940,1623.8,0.16298969072165
"26","751",NA,2017-05-04,2,2017-05-04 15:00:08,1932.1,1177.5,0.390559494850163
"27","751",NA,2017-05-05,3,2017-05-05 15:48:07,1048.6,435.61,0.584579439252336
"28","751",NA,2017-05-05,4,2017-05-05 15:48:49,1198.7,398.75,0.667347960290315
"29","752","TRUE",2017-05-04,1,2017-05-04 15:08:26,1947.5,1786.3,0.0827727856225931
"30","752","TRUE",2017-05-04,2,2017-05-04 15:09:02,1954.3,1700.8,0.12971396407921
"31","753",NA,2017-05-04,1,2017-05-04 15:02:10,1940.1,1029.3,0.469460337096026
"32","753",NA,2017-05-04,2,2017-05-04 15:02:53,1936,1176.9,0.392097107438016
"33","753",NA,2017-05-04,3,2017-05-04 15:05:49,1932.3,908.12,0.530031568597009
"34","753",NA,2017-05-04,4,2017-05-04 15:06:14,1941.9,1333.3,0.313404397754776
"35","754",NA,2017-05-04,1,2017-05-04 15:13:37,1948.8,324.4,0.833538587848933
"36","754",NA,2017-05-04,2,2017-05-04 15:14:41,1954.2,249.17,0.872495138675673
"37","755",NA,2017-05-04,1,2017-05-04 15:10:36,1951.2,1858.8,0.0473554735547356
"38","755",NA,2017-05-04,2,2017-05-04 15:11:38,1946,1929.3,0.00858170606372047
"39","756",NA,2017-05-05,1,2017-05-05 16:10:48,1504.7,1175.9,0.218515318668173
"40","756",NA,2017-05-05,2,2017-05-05 16:11:21,1635.1,1008.7,0.383095835117118
"41","757",NA,2017-05-05,1,2017-05-05 16:14:57,1411.3,440.77,0.687685113016368
"42","757",NA,2017-05-05,2,2017-05-05 16:15:46,1306.5,347.45,0.734060466896288
"43","758",NA,2017-05-05,1,2017-05-05 16:25:22,306.81,164,0.465467227274209
"44","758",NA,2017-05-05,2,2017-05-05 16:25:52,286.87,114.9,0.599470143270471
"45","759","OAK",2017-05-05,3,2017-05-05 16:33:22,798.57,288.45,0.638791840414741
"46","759","OAK",2017-05-05,4,2017-05-05 16:34:13,717.16,278.67,0.611425623291873
"47","759","OAK",2017-05-05,5,2017-05-05 16:34:46,845.76,259.25,0.693470961029134
"48","759",NA,2017-05-05,1,2017-05-05 16:31:30,280,116.24,0.584857142857143
"49","759",NA,2017-05-05,2,2017-05-05 16:32:00,249.33,147.11,0.409978743031324
"50","763","UNDISTUR",2017-05-05,3,2017-05-05 14:50:13,1475.1,305.13,0.793146227374415
"51","763","UNDISTUR",2017-05-05,4,2017-05-05 14:50:57,1404.7,194.01,0.861885100021357
"52","763",NA,2017-05-05,1,2017-05-05 14:47:52,1263.1,881.95,0.301757580555775
"53","763",NA,2017-05-05,2,2017-05-05 14:48:32,1362.8,1016.9,0.253815673613149
"54","763",NA,2017-05-05,5,2017-05-05 14:58:48,1348.5,853.23,0.367274749721913
"55","763",NA,2017-05-05,6,2017-05-05 14:59:20,1487.1,1190.9,0.199179611324053
