site,species
740,Lactuca seriola
741,Achyrachaena mollis
741,Agoseris heterophylla
741,Avena fatua
741,Bromus hordaceous
741,Lactuca seriola
742,Achyrachaena mollis
742,Agoseris heterophylla
742,Avena barbata
742,Microseris douglasii
742,Plantago erecta
742,Trifolium albopurpureum
743,Agoseris heterophylla
743,Ancistrocarphus filagineus
743,Leptosiphon parviflorus
743,Plantago erecta
744,Trifolium albopurpureum
745,Agoseris heterophylla
745,Microseris douglasii
745,Plantago erecta
746,Bromus hordaceous
747,Ancistrocarphus filagineus
747,Gilia ocheracerous
747,Trifolium albopurpureum
748,Gilia ocheracerous
748,Leptosyne bigelovii
748,Lotus strigosus
749,Avena fatua
750,Avena barbata
751,Ancistrocarphus filagineus
751,Leptosiphon parviflorus
752,Astragalus gambelianus
753,Avena fatua
754,Bromus diandrus
756,Lupinus bicolor
757,Bromus diandrus
758,Carduus pycnocephalus
758,Claytonia perfoliata
758,Torrilis arvensis
759,Claytonia perfoliata
759,Viola pedunculata
760,Vulpia myuros
759,Gallium aparine
759,Stellaria media
