plot,subplot,d1,d2
742,1,34,27
742,2,46,20
742,3,10,15
742,4,30,25
742,5,13,23
743,1,40,32
743,2,15,12
743,3,35,18
743,4,10,2
743,5,14,11
744,1,11,18
744,2,8,8
744,3,33,12
744,4,29,34
744,5,14,22
745,1,19,15
745,2,21,16
745,3,12,19
745,4,2,8
745,5,7,9
746,1,50,50
746,2,50,50
746,3,50,50
746,4,50,50
746,5,50,50
747,1,7,12
747,2,23,17
747,3,55,42
747,4,50,50
747,5,31,58
748,1,35,14
748,2,8,12
748,3,10,15
748,4,10,16
748,5,7,15
749,1,70,70
749,2,60,55
749,3,62,70
749,4,55,60
749,5,40,55
740,1,60,50
740,2,45,55
740,3,45,45
740,4,60,55
740,5,65,55
741,1,45,55
741,2,45,45
741,3,45,45
741,4,23,7
741,5,35,46
750,1,38,42
750,2,44,48
750,3,34,41
750,4,46,47
750,5,24,28
751,1,15,18
751,2,45,60
751,3,33,38
751,4,56,23
751,5,53,35
752,1,13,10
752,2,9,5
752,3,11,19
752,4,24,13
752,5,23,12
753,1,60,60
753,2,14,40
753,3,40,40
753,4,28,20
753,5,40,45
754,1,50,40
754,2,40,55
754,3,40,50
754,4,46,33
754,5,35,34
755,1,21,15
755,2,10,14
755,3,6,11
755,4,6,18
755,5,19,22
763,1,10,7
763,2,3,3
763,3,3,2
763,4,4,3
763,5,7,7
762,1,9,42
762,2,32,26
762,3,20,33
762,4,31,50
762,5,24,32
760,1,46,50
760,2,50,24
760,3,50,50
760,4,50,40
760,5,50,50
761,1,50,40
761,2,40,40
761,3,50,40
761,4,37,50
761,5,40,50
756,1,16,50
756,2,37,25
756,3,50,41
756,4,41,50
756,5,43,50
757,1,34,20
757,2,45,45
757,3,45,16
757,4,50,50
757,5,45,50
758,1,20,37
758,2,14,20
758,3,13,20
758,4,60,24
758,5,16,17
759,1,22,22
759,2,20,33
759,3,23,21
759,4,18,26
759,5,15,25
